celltype.l1,celltype.l2,gene
Macrophage,CCL2_Macrophage,CCL2
Macrophage,CCL2_Macrophage,CCL8
Macrophage,CCL2_Macrophage,LYVE1
Macrophage,CCL2_Macrophage,P2RY13
Macrophage,CCL2_Macrophage,HBEGF
Macrophage,CCL2_Macrophage,PCP4L1
Macrophage,CD5L_Macrophage,MARCO
Macrophage,CD5L_Macrophage,C4BPA
Macrophage,CD5L_Macrophage,C1QC
Macrophage,CD5L_Macrophage,CD55
Macrophage,CD5L_Macrophage,MSR1
Macrophage,CD5L_Macrophage,C1QB
Macrophage,CD5L_Macrophage,ENSECAG00000022247
Macrophage,GPNMB_Macrophage,APOE
Macrophage,GPNMB_Macrophage,CTSD
Macrophage,GPNMB_Macrophage,GPNMB
Macrophage,GPNMB_Macrophage,LGMN
Macrophage,GPNMB_Macrophage,ENSECAG00000024790
Macrophage,GPNMB_Macrophage,PLD3
Macrophage,GPNMB_Macrophage,ACP5
Macrophage,TPPP3_Macrophage,ANXA2
Macrophage,TPPP3_Macrophage,S100A10
Macrophage,TPPP3_Macrophage,S100A4
Macrophage,TPPP3_Macrophage,ANXA1
Macrophage,TPPP3_Macrophage,LGALS3
Macrophage,TPPP3_Macrophage,TPPP3
Macrophage,TPPP3_Macrophage,S100A11
Macrophage,TPPP3_Macrophage,ANXA5
Monocyte,Mo-Mac,LYZ
Monocyte,Mo-Mac,PLAC8B
Monocyte,Mo-Mac,ENSECAG00000000436
Monocyte,Mo-Mac,SLPI
Monocyte,Mo-Mac,SERPINB10
Monocyte,Mo-Mac,AQP9
Monocyte,Monocyte,S100A12
Monocyte,Monocyte,ENSECAG00000010117
Monocyte,Monocyte,ECATH-3
Monocyte,Monocyte,VCAN
Monocyte,Monocyte,ENSECAG00000010598
Monocyte,Monocyte,ENSECAG00000010615
DC,cDC1,ENSECAG00000039383
DC,cDC1,ENSECAG00000039998
DC,cDC1,CPVL
DC,cDC1,IRF8
DC,cDC1,ENSECAG00000029928
DC,cDC1,GPIHBP1
DC,cDC1,DNASE1L3
DC,cDC1,FLT3
DC,cDC2,FCER1A
DC,cDC2,CD1A7
DC,cDC2,CD1E2
DC,cDC2,DRB
DC,cDC2,DRA
DC,cDC2,DQB
DC,cDC2,CD1C
DC,cDC2,CD1A1
DC,cycling_DC,BRCA1
DC,cycling_DC,CDCA7
DC,cycling_DC,UHRF1
DC,cycling_DC,CLSPN
DC,cycling_DC,RRM2
DC,cycling_DC,BRCA2
DC,cycling_DC,HELLS
DC,cycling_DC,CDT1
DC,migDC,RORC
DC,migDC,CCR7
DC,migDC,NGFR
DC,migDC,CHN1
DC,migDC,SLCO5A1
DC,migDC,SLC38A1
DC,migDC,MARCKSL1
DC,migDC,IL4I1
DC,pDC,GJB2
DC,pDC,MS4A1
DC,pDC,GJA1
DC,pDC,FCRLA
DC,pDC,OSBPL10
DC,pDC,TCF4
DC,pDC,IL18R1
CD4_T_cell,SELL_CD4,SELL
CD4_T_cell,SELL_CD4,KLF2
CD4_T_cell,SELL_CD4,CCR7
CD4_T_cell,SELL_CD4,LEF1
CD4_T_cell,SELL_CD4,ENSECAG00000010622
CD4_T_cell,SELL_CD4,ENSECAG00000040878
CD4_T_cell,SELL_CD4,EEF1A1
CD4_T_cell,Activated_CD4,ENSECAG00000000910
CD4_T_cell,Activated_CD4,ENSECAG00000036014
CD4_T_cell,Activated_CD4,CALY
CD4_T_cell,Activated_CD4,CD40LG
CD4_T_cell,Activated_CD4,ICOS
CD4_T_cell,Treg,ARID5B
CD4_T_cell,Treg,FGL2
CD4_T_cell,Treg,RALA
CD4_T_cell,Treg,FOXO1
CD4_T_cell,Treg,TNFRSF1B
CD4_T_cell,Treg,CGA
CD8_T_cell,Effector_CD8,GZMA
CD8_T_cell,Effector_CD8,CTSW
CD8_T_cell,Effector_CD8,CCL5
CD8_T_cell,Effector_CD8,NKG7
CD8_T_cell,Effector_CD8,DRB
CD8_T_cell,Effector_CD8,KLRK1
CD8_T_cell,DAPL1_CD8,DAPL1
CD8_T_cell,DAPL1_CD8,GZMK
CD8_T_cell,DAPL1_CD8,GZMM
CD8_T_cell,DAPL1_CD8,IDO1
CD8_T_cell,DAPL1_CD8,IRF7
CD8_T_cell,CX3CR1_T,CX3CR1
CD8_T_cell,CX3CR1_T,ENSECAG00000031322
CD8_T_cell,CX3CR1_T,ENSECAG00000022193
CD8_T_cell,CX3CR1_T,SCML4
CD8_T_cell,CX3CR1_T,ZEB2
CD8_T_cell,IFN-T,MX1
CD8_T_cell,IFN-T,IRF7
CD8_T_cell,IFN-T,ISG20
CD8_T_cell,IFN-T,ENSECAG00000033029
CD8_T_cell,IFN-T,ISG15
CD8_T_cell,IFN-T,XAF1
CD8_T_cell,IFN-T,SAMD9L
gd_T_cell,GZMA_gd_T,ENSECAG00000038560
gd_T_cell,GZMA_gd_T,BLK
gd_T_cell,GZMA_gd_T,TRDC
gd_T_cell,GZMA_gd_T,ENSECAG00000039473
gd_T_cell,GZMA_gd_T,KLRB1
gd_T_cell,GZMA_gd_T,GZMA
gd_T_cell,GZMA_gd_T,ENSECAG00000014832
gd_T_cell,GZMA_gd_T,CTSW
gd_T_cell,IL23R_gd_T1,KLRF1
gd_T_cell,IL23R_gd_T1,SCART1
gd_T_cell,IL23R_gd_T1,TRDC
gd_T_cell,IL23R_gd_T1,KLRB1
gd_T_cell,IL23R_gd_T1,TNFRSF25
gd_T_cell,IL23R_gd_T1,IL23R
gd_T_cell,IL23R_gd_T1,TNFSF13B
gd_T_cell,IL23R_gd_T1,RORA
gd_T_cell,IL23R_gd_T1,IKZF2
gd_T_cell,IL23R_gd_T2,ENSECAG00000038560
gd_T_cell,IL23R_gd_T2,BLK
gd_T_cell,IL23R_gd_T2,SCART1
gd_T_cell,IL23R_gd_T2,RHEX
gd_T_cell,IL23R_gd_T2,KLRF1
gd_T_cell,IL23R_gd_T2,TRDC
gd_T_cell,IL23R_gd_T2,TNFRSF25
gd_T_cell,IL23R_gd_T2,IL23R
gd_T_cell,IL23R_gd_T2,RORA
gd_T_cell,KLRD1_T,KLRB1
gd_T_cell,KLRD1_T,HOPX
gd_T_cell,KLRD1_T,CRYBG2
